Level,Model,Bands,OA (%),mIoU,F1_macro,F1_Bg,F1_Sev,F1_Mod,F1_Hlth
L0,Original_UNet,200,92.14,0.8038,0.8852,0.9658,0.8362,0.7755,0.9634
L0,HSI_UNet,200,93.79,0.8389,0.9087,0.9696,0.8672,0.8271,0.9710
L1,Original_UNet,183,92.17,0.8012,0.8834,0.9629,0.8308,0.7736,0.9665
L1,HSI_UNet,183,93.31,0.8279,0.9017,0.9645,0.8543,0.8172,0.9710
L2,Original_UNet,170,91.80,0.7932,0.8779,0.9613,0.8202,0.7648,0.9654
L2,HSI_UNet,170,92.34,0.8082,0.8886,0.9631,0.8415,0.7860,0.9638
L3,Original_UNet,153,91.15,0.7850,0.8726,0.9589,0.8244,0.7503,0.9570
L3,HSI_UNet,153,92.79,0.8168,0.8945,0.9624,0.8454,0.8027,0.9675
L4,Original_UNet,140,91.69,0.7933,0.8782,0.9616,0.8255,0.7642,0.9617
L4,HSI_UNet,140,92.84,0.8188,0.8959,0.9628,0.8479,0.8058,0.9672
L5,Original_UNet,77,90.99,0.7791,0.8686,0.9539,0.8059,0.7541,0.9608
L5,HSI_UNet,77,92.13,0.8037,0.8856,0.9622,0.8373,0.7804,0.9624
L6,Original_UNet,31,83.45,0.6579,0.7773,0.9222,0.7026,0.5793,0.9050
L6,HSI_UNet,31,85.80,0.6938,0.8067,0.9325,0.7324,0.6433,0.9188
L7,Original_UNet,3,81.88,0.6366,0.7604,0.9115,0.6788,0.5569,0.8946
L7,HSI_UNet,3,84.79,0.6759,0.7930,0.9225,0.7051,0.6283,0.9159
L8,Original_UNet,4,91.74,0.7953,0.8794,0.9647,0.8334,0.7605,0.9591
L8,HSI_UNet,4,94.39,0.8521,0.9172,0.9708,0.8785,0.8445,0.9749
